age,gender,weight,activity,humidity,temperature,complication,is_indoors,is_ground_wet,water_intake
24,0,66,0,32,31,2,1,0,3141
37,0,58,2,85,31,2,1,0,3303
46,0,82,2,69,38,0,0,0,3662
32,1,69,0,63,26,2,1,1,3147
28,0,62,1,69,38,1,0,1,3314
25,0,77,2,56,29,1,0,1,3544
46,1,97,1,42,29,0,1,0,3580
38,0,78,1,74,20,1,1,1,3122
24,1,62,2,62,26,1,1,1,3162
43,1,95,1,35,34,2,0,0,3980
36,0,84,2,53,32,1,1,0,3600
40,1,55,1,48,28,0,1,1,2834
28,0,67,2,45,16,2,1,0,3436
28,1,54,0,69,23,2,1,0,2798
41,1,96,2,57,19,0,1,0,3668
38,0,74,2,62,34,2,0,0,3797
21,1,51,2,88,15,2,0,1,2892
25,1,59,2,88,37,0,0,0,3093
41,1,79,1,77,17,2,1,0,3275
20,1,99,0,70,20,0,1,0,3419
39,1,94,2,42,19,0,1,0,3854
38,0,54,1,72,35,1,0,0,2984
19,1,82,0,74,19,1,1,0,2979
41,0,50,0,54,15,2,1,0,2534
29,1,67,0,82,31,2,1,0,2866
47,0,81,0,71,33,0,0,1,3162
23,0,96,2,65,28,2,1,0,4095
19,1,98,2,56,26,0,0,1,4020
49,1,60,1,67,24,0,1,0,2657
45,1,70,1,89,34,2,0,0,3489
38,0,75,1,36,35,0,0,0,3502
18,1,74,0,34,32,1,0,0,3287
29,0,71,0,72,38,2,1,1,3358
43,0,76,2,74,25,1,1,0,3220
39,0,98,0,87,16,2,0,0,3437
46,1,62,0,86,39,0,0,1,2924
29,1,82,0,80,32,2,1,1,3490
42,0,83,1,60,39,1,1,0,3563
34,0,90,1,52,21,0,0,1,3430
44,1,84,2,71,38,2,1,1,3937
44,0,50,0,39,29,2,1,1,2767
48,1,70,0,61,25,2,1,0,2976
27,0,97,2,72,32,1,1,0,3773
49,1,55,0,82,37,1,0,0,2569
45,0,77,0,59,26,2,1,1,3208
45,1,66,1,68,20,0,1,0,2731
33,0,54,2,60,34,0,0,1,3117
32,1,80,2,47,37,1,0,0,3794
47,1,54,2,65,27,0,1,0,2738
47,0,87,2,31,34,1,1,1,3952
32,0,52,1,43,30,2,1,0,2977
47,1,72,1,42,32,1,1,1,3221
36,0,86,0,58,24,1,0,1,3249
29,1,86,0,41,37,2,0,0,3775
40,0,59,0,68,22,0,0,1,2769
37,1,59,0,31,32,1,1,0,2949
49,1,68,1,61,35,1,1,0,3063
42,1,66,2,42,15,2,1,1,3573
20,1,70,1,75,37,0,1,0,2906
22,1,63,0,56,22,1,0,1,2868
36,1,58,1,78,20,2,0,0,3159
24,0,95,2,70,19,1,1,0,3787
38,0,50,2,46,29,2,0,0,3286
26,0,94,1,69,36,0,1,0,3469
24,1,62,1,60,29,0,1,0,2933
35,1,53,1,63,16,0,0,1,2603
21,1,50,0,89,15,0,1,1,2133
42,1,98,1,53,37,1,1,1,3955
45,0,89,1,74,37,1,0,1,3683
31,0,81,1,64,25,0,1,1,3373
35,1,83,2,77,24,0,1,1,3360
43,0,77,2,35,32,0,0,0,3698
26,0,80,0,48,32,1,1,0,3373
43,1,57,0,59,31,0,0,1,2813
38,0,88,2,36,22,0,1,1,3637
19,1,75,2,39,29,0,0,0,3658
37,0,83,2,70,22,2,0,0,3786
45,1,52,1,61,31,0,0,0,2800
32,1,99,1,63,26,2,1,1,3913
45,1,61,2,57,22,2,0,1,3425
24,1,50,1,89,39,0,0,1,2659
29,0,93,1,44,28,2,0,0,3926
46,1,54,0,59,18,0,0,0,2511
25,1,79,2,66,15,1,0,1,3486
32,1,79,2,58,15,1,1,1,3451
20,0,66,1,51,33,1,1,0,3094
31,1,97,2,33,30,1,1,0,4015
34,0,96,0,49,28,2,1,0,3637
21,1,72,0,61,35,0,1,0,2961
35,0,64,0,65,30,0,1,1,2802
25,0,86,2,79,19,0,1,0,3326
21,1,70,2,33,23,1,0,0,3420
19,0,63,2,56,16,1,1,0,3118
47,1,51,2,46,32,0,0,1,3145
23,1,60,2,41,20,1,0,1,3362
39,1,88,0,51,23,0,1,0,3251
27,0,87,1,46,15,0,0,0,3379
21,0,83,0,39,23,0,0,0,3269
39,1,87,2,83,39,0,0,1,3587
46,1,99,0,30,30,0,0,1,3792
48,0,83,2,51,27,0,1,1,3659
35,1,67,2,55,23,0,1,0,3007
43,1,79,0,85,35,1,1,1,3055
29,1,64,2,88,27,0,1,0,2833
19,0,76,1,47,23,0,1,0,3025
27,0,83,2,79,25,1,1,0,3587
47,0,87,1,43,18,1,1,1,3635
21,1,82,1,76,16,1,1,0,3113
31,1,73,2,58,20,0,1,1,3320
48,1,64,0,41,28,2,1,1,3025
33,0,79,1,65,18,2,0,0,3545
32,1,91,0,88,20,1,1,0,3119
25,1,66,1,64,33,2,0,1,3572
31,1,54,2,81,20,1,0,0,3072
40,1,78,2,41,16,0,0,1,3465
45,0,53,1,36,32,2,0,0,3127
42,0,59,2,58,27,0,1,1,2950
47,1,66,1,40,23,2,0,1,3445
25,0,59,2,62,37,0,1,1,3245
38,0,66,0,35,33,2,1,1,3351
33,1,69,2,76,27,0,0,0,3305
30,1,73,0,44,25,0,1,0,2802
35,0,54,2,61,15,2,0,1,3284
32,1,83,0,80,38,0,0,1,3318
38,0,55,2,40,36,0,1,0,3059
41,1,51,0,87,21,0,1,0,2125
43,0,62,1,52,39,2,0,0,3285
42,1,92,1,55,35,2,1,0,3851
45,0,92,0,63,29,0,1,0,3280
45,0,97,2,75,15,0,1,0,3514
45,0,60,0,63,26,2,0,1,3003
30,1,96,2,58,21,2,0,0,4112
26,0,72,1,33,29,0,1,0,3301
46,0,65,2,46,35,0,1,1,3331
32,1,80,1,64,33,0,1,0,3325
30,1,60,2,42,39,1,1,0,3443
18,0,65,2,70,15,2,1,0,3362
42,0,57,2,68,31,1,0,0,3301
24,1,53,0,44,31,2,1,0,3023
26,1,89,0,84,17,2,0,1,3282
41,1,53,1,58,26,2,1,0,2857
18,1,74,1,58,20,2,0,1,3488
29,1,52,0,40,25,2,1,1,2767
25,0,81,1,81,17,2,0,0,3349
41,1,52,0,61,22,2,1,1,2625
48,0,76,2,31,28,1,0,0,3796
28,0,78,1,76,28,0,0,1,3344
36,0,81,1,43,24,0,0,1,3521
34,1,99,0,49,16,1,0,0,3407
