age,gender,weight,humidity,temperature,complication,is_indoors,is_ground_wet,is_windy_or_fanned,is_direct_sun,activity_type,duration_minutes,pace,terrain_type,sweat_level,intensity_score,water_intake
24,0,66,70,16,2,1,0,1,0,2,119,14.491438603088476,1,0,0.8069999999999999,3358.0
37,0,58,64,39,2,0,0,0,1,4,18,0.0,0,2,0.20400000000000001,3395.0
46,0,82,81,21,2,0,1,0,0,4,40,0.0,0,1,0.22,3379.0
32,1,69,54,34,0,0,1,1,1,3,72,0.0,2,2,0.566,4070.0
28,0,62,55,18,1,1,0,1,0,3,41,0.0,2,3,0.523,2774.0
25,0,77,40,22,2,1,1,1,0,2,40,13.647387414436178,1,3,0.72,3786.0
46,1,97,67,34,1,0,1,1,0,2,117,16.723986418858274,0,3,0.9510000000000001,5477.0
38,0,78,31,36,1,0,1,1,0,0,74,3.0461846750739254,2,0,0.42200000000000004,3958.0
24,1,62,36,35,2,0,0,0,1,0,18,4.350762738428671,0,1,0.304,3834.0
43,1,95,47,33,2,0,0,1,0,3,55,0.0,0,0,0.365,4760.0
36,0,84,56,27,1,1,1,0,1,5,65,5.131243634495506,1,3,0.7450000000000001,4144.0
40,1,55,63,28,2,0,1,1,1,5,57,4.611358605237621,1,2,0.671,4423.0
28,0,67,56,24,1,0,1,0,1,3,73,0.0,1,2,0.619,3902.0
28,1,54,46,25,1,0,0,1,0,0,34,4.302062918126277,2,3,0.502,3064.0
41,1,96,72,16,2,0,0,1,1,0,82,4.315154940092284,2,3,0.646,5927.0
38,0,74,88,39,0,0,1,0,1,5,111,7.679750109324274,0,0,0.633,4103.0
21,1,51,73,23,2,0,1,0,1,1,51,10.205205815168592,0,3,1.0,4270.0
25,1,59,88,31,0,0,1,1,0,1,48,7.195622018800805,2,2,0.794,3516.0
41,1,79,80,17,1,1,1,1,0,0,61,3.0412366620340356,2,0,0.383,2916.0
20,1,99,83,38,1,1,1,1,1,1,55,7.6248379682218355,1,3,0.915,6084.0
39,1,94,53,20,0,1,1,1,0,4,25,0.0,0,1,0.175,2894.0
38,0,54,54,19,1,1,0,1,1,3,86,0.0,1,1,0.6080000000000001,3314.0
19,1,82,36,19,0,0,1,0,1,3,52,0.0,2,3,0.556,3941.0
41,0,50,81,36,0,1,0,0,0,0,57,3.9991046154161953,1,1,0.471,1979.0
29,1,67,35,29,1,1,1,1,1,2,38,18.883017858779347,2,0,0.614,3950.0
47,0,81,82,37,0,0,1,0,0,5,65,6.38468894139455,1,0,0.595,3996.0
23,0,96,53,31,2,0,0,0,0,0,17,3.205376158000734,1,0,0.301,4116.0
19,1,98,62,23,2,1,0,0,1,1,18,7.237304430504839,2,0,0.6040000000000001,4636.0
49,1,60,78,17,1,1,0,1,0,5,58,5.613121086293161,0,1,0.524,2477.0
45,1,70,58,34,1,0,0,0,0,2,56,21.996334855483042,2,0,0.668,3843.0
38,0,75,72,31,0,1,1,1,1,1,11,9.781483316736947,2,2,0.783,4235.0
